Date,Open,High,Low,Close,Adj Close,Volume
2013-05-27,7.826090,7.826090,7.669570,7.826090,7.678408,13634253
2013-05-28,7.808700,7.930430,7.791300,7.808700,7.661346,14383894
2013-05-29,7.652170,7.773910,7.582610,7.652170,7.507770,13880175
2013-05-30,7.600000,7.756520,7.408700,7.600000,7.600000,24138056
2013-05-31,7.565220,7.686960,7.391300,7.565220,7.565220,18430462
2013-06-03,6.434780,7.321740,6.347830,6.434780,6.434780,53933617
2013-06-04,7.008700,7.078260,6.608700,7.008700,7.008700,55289607
2013-06-05,7.095650,7.182610,6.817390,7.095650,7.095650,45072387
2013-06-06,6.713040,7.200000,6.400000,6.713040,6.713040,44705831
2013-06-07,7.026090,7.060870,6.660870,7.026090,7.026090,36350711
2013-06-10,6.921740,7.147830,6.852170,6.921740,6.921740,22111327
2013-06-11,6.539130,7.095650,6.469570,6.539130,6.539130,59643408
2013-06-12,6.608700,6.730430,6.573910,6.608700,6.608700,28754873
2013-06-13,6.660870,6.765220,6.591300,6.660870,6.660870,29102500
2013-06-14,6.973910,7.008700,6.782610,6.973910,6.973910,41672917
2013-06-17,6.904350,7.026090,6.800000,6.904350,6.904350,34768376
2013-06-18,7.026090,7.043480,6.921740,7.026090,7.026090,24195899
2013-06-19,7.095650,7.147830,7.043480,7.095650,7.095650,20023287
2013-06-20,6.869570,7.043480,6.817390,6.869570,6.869570,29638374
2013-06-21,6.643480,6.956520,6.591300,6.643480,6.643480,34382940
2013-06-24,6.400000,6.695650,6.400000,6.400000,6.400000,18347344
2013-06-25,6.956520,6.956520,6.504350,6.956520,6.956520,51708657
2013-06-26,7.180000,7.220000,6.960000,7.180000,7.180000,21130057
2013-06-27,7.660000,7.680000,7.320000,7.660000,7.660000,41891340
2013-06-28,7.500000,7.740000,7.400000,7.500000,7.500000,28630674
2013-07-01,7.600000,7.660000,7.420000,7.600000,7.600000,12701531
2013-07-02,7.520000,7.640000,7.480000,7.520000,7.520000,11200311
2013-07-03,7.340000,7.460000,7.160000,7.340000,7.340000,29022517
2013-07-04,7.540000,7.580000,7.300000,7.540000,7.540000,15762419
2013-07-05,7.480000,7.620000,7.380000,7.480000,7.480000,16159977
2013-07-08,7.560000,7.580000,7.440000,7.560000,7.560000,14505202
2013-07-09,7.960000,8.000000,7.600000,7.960000,7.960000,30464027
2013-07-10,8.040000,8.240000,7.880000,8.040000,8.040000,43543681
2013-07-11,8.000000,8.240000,7.980000,8.000000,8.000000,18067084
2013-07-12,8.080000,8.120000,7.940000,8.080000,8.080000,21572829
2013-07-15,8.060000,8.160000,8.020000,8.060000,8.060000,18482547
2013-07-16,8.060000,8.140000,7.960000,8.060000,8.060000,16261025
2013-07-17,8.000000,8.140000,7.980000,8.000000,8.000000,14261769
2013-07-18,8.060000,8.100000,7.980000,8.060000,8.060000,11621580
2013-07-19,7.940000,8.080000,7.880000,7.940000,7.940000,10823062
2013-07-22,8.060000,8.060000,7.860000,8.060000,8.060000,6981040
2013-07-23,8.120000,8.340000,8.100000,8.120000,8.120000,25703084
2013-07-24,8.100000,8.220000,8.080000,8.100000,8.100000,12026518
2013-07-25,8.040000,8.120000,7.940000,8.040000,8.040000,12399697
2013-07-26,8.120000,8.280000,8.060000,8.120000,8.120000,21237621
2013-07-29,8.100000,8.200000,8.080000,8.100000,8.100000,11012148
2013-07-30,8.220000,8.260000,8.120000,8.220000,8.220000,11629834
2013-07-31,8.160000,8.260000,8.100000,8.160000,8.160000,10810709
2013-08-01,8.100000,8.240000,8.100000,8.100000,8.100000,10576263
2013-08-02,8.200000,8.220000,8.100000,8.200000,8.200000,7212928
2013-08-05,8.240000,8.280000,8.160000,8.240000,8.240000,8681975
2013-08-06,8.360000,8.440000,8.340000,8.360000,8.360000,10718336
2013-08-07,8.440000,8.440000,8.320000,8.440000,8.440000,3655023
2013-08-08,8.360000,8.360000,8.360000,8.360000,8.360000,0
