trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 0.5}",20,0,-133.10028549310834,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
2,False,"{'e': 0.8999999999999999, 'a': 0.5}",30,0,-168.92649203707236,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
3,False,"{'e': 0.8499999999999999, 'a': 0.5}",35,0,-177.82585483826077,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
4,False,"{'e': 0.7999999999999998, 'a': 0.5}",25,0,-77.09617746781272,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
5,False,"{'e': 0.7499999999999998, 'a': 0.5}",20,0,2.24615616559045,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,False,"{'e': 0.6999999999999997, 'a': 0.5}",20,0,-71.97147765063144,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'e': 0.6499999999999997, 'a': 0.5}",20,0,-20.074053995321705,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'e': 0.5999999999999996, 'a': 0.5}",30,0,-31.20116543567498,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
9,False,"{'e': 0.5499999999999996, 'a': 0.5}",20,0,-149.73877426750465,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
10,False,"{'e': 0.4999999999999996, 'a': 0.5}",25,7,-75.46799997973545,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
11,False,"{'e': 0.4499999999999996, 'a': 0.5}",20,10,-39.132495382838236,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
12,False,"{'e': 0.39999999999999963, 'a': 0.5}",25,17,13.242976573616891,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'e': 0.34999999999999964, 'a': 0.5}",30,0,-40.85218509181103,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
14,False,"{'e': 0.29999999999999966, 'a': 0.5}",20,0,-23.113281922567516,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'e': 0.24999999999999967, 'a': 0.5}",30,16,12.504134876577588,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'e': 0.19999999999999968, 'a': 0.5}",20,9,-5.7214615690618675,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
17,False,"{'e': 0.1499999999999997, 'a': 0.5}",20,16,6.869332699655023,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'e': 0.09999999999999969, 'a': 0.5}",20,2,-20.580055656929435,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'e': 0.049999999999999684, 'a': 0.5}",20,0,9.35151295423282,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 0.5}",25,0,25.83104144385354,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'e': 0, 'a': 0}",20,4,30.025683571133797,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",25,13,-3.2043961163057064,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,8,-36.58545088871905,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
4,True,"{'e': 0, 'a': 0}",25,0,-61.725417618861684,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'e': 0, 'a': 0}",20,9,-24.490234160554564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'e': 0, 'a': 0}",30,8,34.67884195071833,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",30,7,10.537055384237636,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,14,17.689176415827504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",20,14,13.136086522926838,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,6,26.328918383301463,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
