trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.3}",30,0,-160.301455241688,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
2,False,"{'e': 0.9900498337491681, 'a': 0.3}",30,0,-164.1197200425095,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
3,False,"{'e': 0.9801986733067553, 'a': 0.3}",20,0,-105.60921655664738,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
4,False,"{'e': 0.9704455335485082, 'a': 0.3}",25,0,-120.0068577784639,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'e': 0.9607894391523232, 'a': 0.3}",25,0,-94.31620375155238,"{0: 12, 1: 7, 2: 5, 3: 1, 4: 0}",0
6,False,"{'e': 0.951229424500714, 'a': 0.3}",20,0,-107.11730493860243,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
7,False,"{'e': 0.9417645335842487, 'a': 0.3}",20,0,-156.6500605800043,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
8,False,"{'e': 0.9323938199059483, 'a': 0.3}",20,16,5.083956526641855,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'e': 0.9231163463866358, 'a': 0.3}",25,11,-44.32004557526584,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 0}",1
10,False,"{'e': 0.9139311852712282, 'a': 0.3}",25,0,-118.59005695101905,"{0: 11, 1: 8, 2: 5, 3: 0, 4: 1}",0
11,False,"{'e': 0.9048374180359595, 'a': 0.3}",35,22,-38.909659497980854,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
12,False,"{'e': 0.8958341352965282, 'a': 0.3}",25,0,-75.81005867581847,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
13,False,"{'e': 0.8869204367171575, 'a': 0.3}",20,0,-116.54437876240497,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
14,False,"{'e': 0.8780954309205613, 'a': 0.3}",20,2,-52.071474421031766,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
15,False,"{'e': 0.8693582353988059, 'a': 0.3}",20,0,-77.47948997403829,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
16,False,"{'e': 0.8607079764250578, 'a': 0.3}",30,0,-235.80119039351575,"{0: 18, 1: 3, 2: 2, 3: 3, 4: 4}",0
17,False,"{'e': 0.8521437889662113, 'a': 0.3}",25,0,-201.26862713873518,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
18,False,"{'e': 0.8436648165963837, 'a': 0.3}",30,0,-72.82729036284792,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
19,False,"{'e': 0.835270211411272, 'a': 0.3}",20,8,-86.62438098927919,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
