trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.95, 'a': 1.0}",25,0,-74.15462406300932,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
2,False,"{'e': 0.8999999999999999, 'a': 1.0}",25,0,-122.48645475830048,"{0: 14, 1: 7, 2: 2, 3: 0, 4: 2}",0
3,False,"{'e': 0.8499999999999999, 'a': 1.0}",25,0,-57.732652627658375,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'e': 0.7999999999999998, 'a': 1.0}",20,0,-121.50876515857638,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'e': 0.7499999999999998, 'a': 1.0}",20,12,0.04565487305191551,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'e': 0.6999999999999997, 'a': 1.0}",25,0,-109.04058898937491,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'e': 0.6499999999999997, 'a': 1.0}",25,0,-157.3491560500971,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
8,False,"{'e': 0.5999999999999996, 'a': 1.0}",20,0,-115.12276878529117,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,False,"{'e': 0.5499999999999996, 'a': 1.0}",35,0,-204.38198351704565,"{0: 16, 1: 4, 2: 12, 3: 2, 4: 1}",0
10,False,"{'e': 0.4999999999999996, 'a': 1.0}",25,0,-147.06998001246754,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
11,False,"{'e': 0.4499999999999996, 'a': 1.0}",20,0,-89.60945760257648,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
12,False,"{'e': 0.39999999999999963, 'a': 1.0}",35,0,-226.52429890331877,"{0: 18, 1: 4, 2: 9, 3: 1, 4: 3}",0
13,False,"{'e': 0.34999999999999964, 'a': 1.0}",25,0,-133.24639861273934,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
14,False,"{'e': 0.29999999999999966, 'a': 1.0}",25,0,-77.15065017221283,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
15,False,"{'e': 0.24999999999999967, 'a': 1.0}",25,0,-50.262886273973734,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
16,False,"{'e': 0.19999999999999968, 'a': 1.0}",35,0,-137.0993969301223,"{0: 19, 1: 5, 2: 9, 3: 2, 4: 0}",0
17,False,"{'e': 0.1499999999999997, 'a': 1.0}",30,0,-203.0773646954837,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
18,False,"{'e': 0.09999999999999969, 'a': 1.0}",30,0,-247.04712949610325,"{0: 14, 1: 0, 2: 12, 3: 1, 4: 3}",0
19,False,"{'e': 0.049999999999999684, 'a': 1.0}",25,0,-243.3408532057965,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
20,False,"{'e': -3.191891195797325e-16, 'a': 1.0}",20,0,-124.75807207226038,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
1,True,"{'e': 0, 'a': 0}",20,0,-106.20696778623625,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",0
2,True,"{'e': 0, 'a': 0}",20,0,-105.26690925098946,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,True,"{'e': 0, 'a': 0}",30,11,-135.7662579327238,"{0: 8, 1: 0, 2: 9, 3: 1, 4: 1}",1
4,True,"{'e': 0, 'a': 0}",20,12,-5.092608924105864,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",35,0,-143.26056551298865,"{0: 21, 1: 6, 2: 6, 3: 0, 4: 2}",0
6,True,"{'e': 0, 'a': 0}",20,0,-112.91150874434877,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
7,True,"{'e': 0, 'a': 0}",30,0,-102.72131475885757,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,True,"{'e': 0, 'a': 0}",20,0,-132.24285879181443,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
9,True,"{'e': 0, 'a': 0}",25,0,-108.89926658008322,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,True,"{'e': 0, 'a': 0}",20,0,-107.00825301477944,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
